"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
56,0.25,0.5,15,5,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0942427188831948,0.120443137090843,0.175986301024107,0.191576813732689,0.0942427188831948,0.120443137090843,0,0.02,1,0.175986301024107,0.191576813732689,0,0.02,1
57,0.25,0.5,15,10,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0854810490380275,0.109387342971551,0.197622718955786,0.240777446139428,0.0854810490380275,0.109387342971551,0,0.02,1,0.197622718955786,0.240777446139428,0,0.02,1
58,0.25,0.5,20,2,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.110386311356363,0.136217719316868,0.171102796139005,0.171649568697166,0.110386311356363,0.136217719316868,0,0.02,1,0.171102796139005,0.171649568697166,0,0.02,1
59,0.25,0.5,20,5,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.112287774880447,0.137777131813773,0.184859477699504,0.209984068358458,0.112287774880447,0.137777131813773,0,0.02,1,0.184859477699504,0.209984068358458,0,0.02,1
60,0.25,0.5,20,10,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.138791107508929,0.155064428231842,0.257890473599435,0.345006257489159,0.138791107508929,0.155064428231842,0,0.02,1,0.257890473599435,0.345006257489159,0,0.02,1
61,0.25,0.5,30,2,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.179377189213778,0.195411775447718,0.209519368070056,0.266101810306867,0.179377189213778,0.195411775447718,0,0.02,1,0.209519368070056,0.266101810306867,0,0.02,1
62,0.25,0.5,30,5,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.159961844650133,0.182226703977848,0.223943620892606,0.293197823666957,0.159961844650133,0.182226703977848,0,0.02,1,0.223943620892606,0.293197823666957,0,0.02,1
63,0.25,0.5,30,10,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.134438189954421,0.15269296250561,0.291276911176004,0.384180775722167,0.134438189954421,0.15269296250561,0,0.02,1,0.291276911176004,0.384180775722167,0,0.02,1
64,0.25,0.75,15,2,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0817768484134135,0.104000739622893,0.117885914265361,0.142076157345184,0.0817768484134135,0.104000739622893,0,0.02,1,0.117885914265361,0.142076157345184,0,0.02,1
65,0.25,0.75,15,5,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0874037847863707,0.112003357956718,0.103283702613027,0.17348850897393,0.0874037847863707,0.112003357956718,0,0.02,1,0.103283702613027,0.17348850897393,0,0.02,1
66,0.25,0.75,15,10,0.0970574126421189,0.00437348968226747,0.101430902324386,0.101430902324386,0.0970574126421189,0.0890986098684464,0.114215660018744,0.189849597207264,0.222516475293105,0.0890986098684464,0.114215660018744,0,0.02,1,0.189849597207264,0.222516475293105,0,0.02,1
67,0.25,0.75,20,2,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.104685176925456,0.131202596446748,0.122246928580693,0.145152313293021,0.104685176925456,0.131202596446748,0,0.02,1,0.122246928580693,0.145152313293021,0,0.02,1
68,0.25,0.75,20,5,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.130181005179008,0.150220253947905,0.18728298623614,0.216153987178957,0.130181005179008,0.150220253947905,0,0.02,1,0.18728298623614,0.216153987178957,0,0.02,1
69,0.25,0.75,20,10,0.117178056464628,0.00315731126794372,0.120335367732571,0.120335367732571,0.117178056464628,0.103049735846621,0.129661522293454,0.195402182310812,0.23570909602078,0.103049735846621,0.129661522293454,0,0.02,1,0.195402182310812,0.23570909602078,0,0.02,1
70,0.25,0.75,30,2,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.162291660091417,0.165670167321553,0.186445746514024,0.214040624845995,0.162291660091417,0.165670167321553,0,0.02,1,0.186445746514024,0.214040624845995,0,0.02,1
71,0.25,0.75,30,5,0.156803458270639,0.00179321456965331,0.158596672840292,0.158596672840292,0.156803458270639,0.154171721974757,0.162371241864647,0.235067988659022,0.311823759139985,0.154171721974757,0.162371241864647,0,0.02,1,0.235067988659022,0.311823759139985,0,0.02,1
